fish_id	genotype	exp_date	line	age	sex	weight_gr	length_cm	Min_Time_under_tricaine	dpf	dob	HRMA date	User	Tank_mates	Notes	Domain	Frame	Age	Line	domain	inflow_avg_1	inflow_avg_2	inflow_avg_3	outflow_avg_1	outflow_avg_2	outflow_avg_3	HR_1	HR_2	HR_3	Vs_1	Vs_2	Vs_3	Vd_1	Vd_2	Vd_3	As_1	As_2	As_3	Ad_1	Ad_2	Ad_3
2	HET	2021-06-29	ATR1-3del	3month	M	0.218	3.03	5.22	136	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Angie	4		ATR1	inframe	3	ATR1_IN_3	ATR1	138.562905	140.835515	136.939629	-143.081066	-132.434708	-136.835940	111.368910	102.783726	120.300752	0.296339	0.223738	0.316153	0.628205	0.546863	0.642084	0.568755	0.442558	0.570388	0.897130	0.815453	0.957501
2	HET	2021-07-30	SET-6del	3month	F	0.222	2.363	0.175	118	2021-04-04T00:00:00Z	2021-06-18T00:00:00Z	Callie	6		SET	inframe	3	SET_IN_6	SET	150.280763	152.710324	174.089659	-110.364160	-105.565747	-104.418293	138.888889	102.564103	126.021004	0.268232	0.255122	0.241563	0.482115	0.431481	0.396020	0.521114	0.482315	0.480256	0.730260	0.691134	0.676443
2	HET	2021-07-31	SET-13del	3month	M	0.246	2.968	0.177777777777778	119	2021-04-04T00:00:00Z	2021-06-18T00:00:00Z	Callie	6		SET	outframe	3	SET_OUT_13	SET	94.353011	104.568294	96.578793	-105.284632	-106.955803	-114.893933	72.992701	99.526066	103.448276	0.299678	0.314726	0.324006	0.665417	0.612562	0.676304	0.581608	0.587133	0.572223	0.963939	0.923764	0.960139
2	HET	2021-08-05	HMG-9del	5month	M	0.221	2.908	0.144444444444444	173	2021-02-14T00:00:00Z	2021-06-05T00:00:00Z	Callie	5		HMG	inframe	5	HMG_IN_9	HMG	112.493151	125.730234	128.972422	-94.626174	-100.749767	-98.637031	130.637636	134.529148	139.534884	0.249071	0.236667	0.217374	0.536994	0.618778	0.505846	0.497026	0.493808	0.472472	0.854635	0.911126	0.835770
2	HET	2021-08-07	HMG-4del2ins	5month	M	0.149	2.269	0.232638888888889	175	2021-02-14T00:00:00Z	2021-06-03T00:00:00Z	Callie	5		HMG	outframe	5	HMG_OUT_4del2ins	HMG	54.466690	70.055860	70.450240	-70.035658	-69.378383	-68.563420	111.368910	109.375000	122.919334	0.092804	0.183338	0.096934	0.180626	0.375643	0.202173	0.247199	0.392701	0.272937	0.396047	0.646860	0.432299
2	HET	2021-08-11	ATR1-16del	5month	F	0.167	2.19	0.2625	179	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Callie	12		ATR1	outframe	5	ATR1_OUT_16	ATR1	90.359018	86.466678	87.300745	-86.773706	-84.417888	-86.381057	113.744076	116.883117	137.755102	0.156213	0.118395	0.198211	0.414623	0.389380	0.528148	0.339619	0.316799	0.407731	0.679575	0.685986	0.819959
2	HET	2021-08-15	ATR1-3del	5month	M	0.204	2.632	0.247916666666667	183	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Callie	4		ATR1	inframe	5	ATR1_IN_3	ATR1	93.329339	93.795117	119.205121	-85.201709	-73.452139	-77.620663	143.712575	128.418549	113.744076	0.224389	0.366188	0.225617	0.572200	0.671518	0.554822	0.485806	0.627476	0.479925	0.906042	0.982341	0.859696
2	HET	2021-09-13	SET-6del	5month	M	0.241	2.93	0.204861111111111	163	2021-04-04T00:00:00Z	2021-06-18T00:00:00Z	Callie	6		SET	inframe	5	SET_IN_6	SET	170.685609	178.393477	180.389023	-95.142285	-91.645723	-72.349135	150.627615	151.029748	140.233723	0.780358	0.840541	0.626672	1.040958	1.095353	1.014457	0.995838	1.080456	0.888218	1.250399	1.325012	1.237094
2	HET	2021-09-14	SET-13del	5month	M	0.286	2.873	0.152083333333333	164	2021-04-04T00:00:00Z	2021-06-18T00:00:00Z	Callie	6		SET	outframe	5	SET_OUT_13	SET	179.161987	179.434654	174.556457	-184.769279	-178.418346	-183.772296	114.467409	110.091743	155.619597	0.505477	0.488290	0.572965	0.880161	0.801110	0.973486	0.823279	0.823727	0.890421	1.175835	1.124402	1.272629
2	HET	2021-10-18	HMG-4del2ins	3month	M	0.153	2.672	0.220833333333333	93	2021-07-18T00:00:00Z	2021-09-29T00:00:00Z	Callie	5		HMG	outframe	3	HMG_OUT_4del2ins	HMG	158.614864	166.134399	194.494547	-116.663396	-128.198664	-123.545211	96.219931	101.449275	97.959184	0.305540	0.267115	0.291044	0.577850	0.489141	0.503463	0.557080	0.534769	0.572304	0.874190	0.819626	0.821938
2	HET	2021-10-24	HMG-9del	3month	M	0.108	2.282	0.161111111111111	96	2021-07-21T00:00:00Z	2021-10-17T00:00:00Z	Callie	2		HMG	inframe	3	HMG_IN_9	HMG	183.359686	164.881929	179.648210	-98.160351	-99.129550	-98.638780	153.846154	150.753769	149.532710	0.206056	0.215729	0.184268	0.421064	0.416183	0.386670	0.427918	0.444924	0.393040	0.718840	0.737368	0.714204
2	WT	2021-06-24	ATR1-16del	3month	M	0.308	2.958	0.283333333333333	131	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Angie	12		ATR1	outframe	3	ATR1_OUT_16	ATR1		92.151414	90.042532	-69.018991	-71.166234			85.005903	88.669951	0.300325	0.296322	0.259202	0.530783	0.510037	0.466857	0.564146	0.568733	0.502213	0.859220	0.835932	0.760017
2	WT	2021-12-14	SET-13del	3month	M	0.199	2.675	0.172916666666667	115	2021-08-22T00:00:00Z	2021-10-24T00:00:00Z	Callie	7		SET	outframe	3	SET_OUT_13	SET	181.844941	184.659873	174.385343	-81.378207	-80.855564	-76.282285	105.960265	107.334526	112.994350	0.229596	0.216666	0.230711	0.456830	0.462161	0.450093	0.483264	0.474247	0.479013	0.802524	0.792589	0.760984
3	HET	2021-12-14	SET-13del	3month	M	0.182	2.667	0.235416666666667	115	2021-08-22T00:00:00Z	2021-10-24T00:00:00Z	Callie	6		SET	outframe	3	SET_OUT_13	SET	257.581054	250.644772	254.385545	-137.581380	-141.135928	-134.361360	117.647059	116.222760	111.801242	0.235211	0.244835	0.241741	0.494303	0.470111	0.483261	0.473098	0.515276	0.489030	0.786107	0.781902	0.800786
3	MUT	2021-06-29	ATR1-3del	3month	M	0.198	2.89	5.37	136	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Angie	3		ATR1	inframe	3	ATR1_IN_3	ATR1	131.241901	129.120037	126.940255	-164.614587	-181.647637	-186.382199	155.507559	162.528217	152.380952	0.261333	0.269584	0.280717	0.404411	0.450858	0.456393	0.508599	0.498869	0.519522	0.708204	0.721933	0.731504
3	MUT	2021-07-30	SET-6del	3month	F	0.149	2.288	0.28125	118	2021-04-04T00:00:00Z	2021-06-18T00:00:00Z	Callie	7	heart bulge	SET	inframe	3	SET_IN_6	SET	44.600267	48.006086	42.538219	-65.035298	-80.627982	-69.506894	146.993318	125.260960	153.191489	8.225648	8.648702	8.768252	10.249692	10.391062	10.335763	4.462003	4.435339	4.503594	5.087252	5.169458	5.157291
3	MUT	2021-07-31	SET-13del	3month	M	0.238	2.779	0.242361111111111	119	2021-04-04T00:00:00Z	2021-06-18T00:00:00Z	Callie	6		SET	outframe	3	SET_OUT_13	SET	144.037847	144.895159	126.432986	-58.526221	-39.985096	-55.170718	91.719745	85.106383	82.191781	0.677476	0.696062	0.605951	0.959856	0.997548	1.034424	0.930589	0.946698	0.858235	1.224731	1.213705	1.233782
3	MUT	2021-08-05	HMG-9del	5month	M	0.216	2.659	0.190277777777778	173	2021-02-14T00:00:00Z	2021-06-05T00:00:00Z	Callie	5		HMG	inframe	5	HMG_IN_9	HMG	108.371165	111.100625	109.671497	-53.344222	-50.887591	-70.189732	100.981767	106.463878	93.167702	0.171590	0.378554	0.197379	0.397241	0.633558	0.316623	0.353483	0.637056	0.397031	0.624867	0.856617	0.567159
3	MUT	2021-08-07	HMG-4del2ins	5month	M	0.211	2.499	0.241666666666667	175	2021-02-14T00:00:00Z	2021-06-03T00:00:00Z	Callie	4	heart bulge	HMG	outframe	5	HMG_OUT_4del2ins	HMG	68.615579	64.667837	72.509618	-171.538949	-158.661787	-140.050985	97.334878	96.644295	80.178174	1.842945	2.778494	2.822660	2.898876	3.015241	3.497867	2.031360	2.348628	2.492456	2.424059	2.623540	2.793128
3	MUT	2021-08-11	ATR1-16del	5month	F	0.197	2.788	0.225694444444444	179	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Callie	6		ATR1	outframe	5	ATR1_OUT_16	ATR1	72.367732	80.766159	57.869817	-68.212881	-69.194344	-64.777668	86.486486	77.419355	92.024540	0.219452	0.171548	0.150243	0.487060	0.440258	0.403071	0.430490	0.401281	0.360994	0.780494	0.746542	0.709638
3	MUT	2021-08-15	ATR1-3del	5month	M	0.241	2.687	0.176388888888889	183	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Callie	3	-	ATR1	inframe	5	ATR1_IN_3	ATR1	115.903710	113.260073	107.462555	-148.614835	-140.909668	-145.237239	79.787234	79.034029	92.592593	0.510094	0.587879	0.651833	0.962979	0.965994	0.994700	0.820362	0.897807	1.001900	1.266319	1.294141	1.341661
3	MUT	2021-09-13	SET-6del	5month	M	0.206	2.998	0.195138888888889	163	2021-04-04T00:00:00Z	2021-06-18T00:00:00Z	Callie	5		SET	inframe	5	SET_IN_6	SET	84.938894	93.093073	84.938933	-178.711434	-206.118484	-164.592776	154.385965	133.498146	118.577075	5.668677	6.545542	7.143976	7.966069	8.105712	9.267324	3.876658	4.319179	4.517526	4.994772	5.040872	5.267182
3	MUT	2021-09-14	SET-13del	5month	M	0.257	2.844	0.159027777777778	164	2021-04-04T00:00:00Z	2021-06-18T00:00:00Z	Callie	6	heart pheno	SET	outframe	5	SET_OUT_13	SET	61.158724	69.781128	92.794530	-258.241638	-290.468240	-226.796475	152.671756	160.000000	162.162162	2.947911	2.706413	2.760354	3.611699	3.742786	3.892337	2.554706	2.437409	2.450440	2.905745	2.958816	2.936127
3	MUT	2021-10-18	HMG-4del2ins	3month	M	0.129	2.17	0.193055555555556	93	2021-07-18T00:00:00Z	2021-09-29T00:00:00Z	Callie	8		HMG	outframe	3	HMG_OUT_4del2ins	HMG	159.391467	161.300335	164.981680	-54.609574	-50.055524	-51.527712	112.751678	96.153846	115.015974	0.200414	0.202377	0.198100	0.456137	0.404297	0.394441	0.450436	0.433446	0.425852	0.761495	0.713892	0.668453
3	MUT	2021-10-24	HMG-9del	3month	M	0.127	2.557	0.181944444444444	96	2021-07-21T00:00:00Z	2021-10-17T00:00:00Z	Callie	5		HMG	inframe	3	HMG_IN_9	HMG	119.543570	118.111936	130.248768	-87.842512	-84.757868	-90.296203	101.449275	105.660377	114.285714	0.430955	0.395692	0.302013	0.553801	0.538708	0.429273	0.735545	0.716475	0.580575	0.875406	0.903341	0.799979
3	MUT	2021-12-26	HMG-4del2ins	5month	M	0.18	3.1	0.246527777777778	133	2015-08-21T00:00:00Z	2021-08-22T00:00:00Z	Callie	5		HMG	outframe	5	HMG_OUT_4del2ins	HMG	56.821440	42.287263	39.610861	-305.682875	-135.747468	-132.214631	105.571848	159.292035	152.542373	1.977207	1.816867	1.881583	2.175647	2.101891	2.145346	2.019852	1.943405	1.964172	2.103069	2.164338	2.177542
3	MUT	2022-09-15	ATR1-16del	5month	M	0.183			138	2022-05-01T00:00:00Z	2022-07-24T00:00:00Z	Callie			ATR1	outframe	5	ATR1_OUT_16	ATR1	250.247738	244.990690	247.416277	-450.741496	-465.724876	-457.408244	125.326371	117.903930	150.375940	7.807237	7.208367	8.893029	9.718001	8.135159	11.311533	4.151693	4.068332	4.564177	4.891830	4.407795	5.226914
3	MUT	2022-09-15	ATR1-3del	5month	M	0.244	2.667		138	2022-05-01T00:00:00Z	2022-07-22T00:00:00Z	Callie			ATR1	Inframe	5	ATR1_IN_3	ATR1	163.582078	136.108008	126.128674	-100.087570	-103.641004	-108.971107	120.000000	108.108108	102.857143	0.488439	0.770322	0.675484	0.723367	0.936066	0.901797	0.743610	1.059645	0.939447	1.075045	1.225391	1.233994
3	WT	2021-06-24	ATR1-16del	3month	F	0.174	2.775	0.291666666666667	131	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Angie	12		ATR1	outframe	3	ATR1_OUT_16	ATR1	125.468814	132.752417	135.567359	-85.766678	-84.005953	-84.801903	127.508855	126.168224	128.205128	0.199845	0.230011	0.196783	0.489743	0.552910	0.499540	0.440143	0.460028	0.435007	0.797759	0.846029	0.800014
4	HET	2021-12-14	SET-13del	3month	M	0.191	2.063	0.200694444444444	115	2021-08-22T00:00:00Z	2021-10-24T00:00:00Z	Callie	6		SET	outframe	3	SET_OUT_13	SET	179.592929	177.261766	201.374566	-105.180786	-119.394434	-119.394379	129.496403	100.840336	92.307692	0.280849	0.279551	0.242883	0.487168	0.483441	0.461330	0.536465	0.548954	0.499272	0.798452	0.818481	0.815955
4	WT	2021-06-24	ATR1-16del	3month	M	0.247	3.103	0.243055555555556	131	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Angie	12		ATR1	outframe	3	ATR1_OUT_16	ATR1	103.249145	101.429470	97.587964	-72.247408	-71.708281	-72.463117	111.405836	112.600536	125.326371	0.272889	0.274514	0.269753	0.532828	0.490231	0.492018	0.565114	0.502251	0.541282	0.846583	0.779258	0.817962
4	WT	2021-06-29	ATR1-3del	3month	F	0.268	2.73	6.4	136	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Angie	4		ATR1	inframe	3	ATR1_IN_3	ATR1	137.004558	136.030611	125.316941	-66.093322	-63.339457	-65.175368	128.000000	147.420147	94.488189	0.354209	0.251746	0.242999	0.687137	0.593070	0.593070	0.615409	0.522295	0.501779	0.996346	0.945100	0.945100
4	WT	2021-07-30	SET-6del	3month	M	0.22	2.233	0.189583333333333	118	2021-04-04T00:00:00Z	2021-06-18T00:00:00Z	Callie	8		SET	inframe	3	SET_IN_6	SET	186.645005	184.933009	170.531787	-70.185838	-87.448060	-79.773062	97.035040	98.130841	89.663761	0.330612	0.357728	0.376509	0.627043	0.630514	0.655964	0.616193	0.653663	0.660831	1.014414	0.940312	0.940730
4	WT	2021-07-31	SET-13del	3month	M	0.26	2.96	0.179166666666667	119	2021-04-04T00:00:00Z	2021-06-18T00:00:00Z	Callie	8		SET	outframe	3	SET_OUT_13	SET	149.210699	142.620514	142.284319	-81.039355	-82.920612	-79.990214	72.289157	86.434574	98.969072	0.249746	0.329629	0.404043	0.580710	0.650170	0.744867	0.483827	0.570140	0.650574	0.894081	0.955035	1.022978
4	WT	2021-08-05	HMG-9del	5month	M	0.211	2.736	0.183333333333333	173	2021-02-14T00:00:00Z	2021-06-05T00:00:00Z	Callie	6		HMG	inframe	5	HMG_IN_9	HMG	117.634644	133.621560	139.620810	-78.963421	-78.638496	-77.866748	91.903720	106.312292	111.975117	0.358770	0.338706	0.483544	0.777574	0.772159	0.831931	0.616785	0.586050	0.736071	1.042596	1.000494	1.100712
4	WT	2021-08-07	HMG-4del2ins	5month	M	0.195	2.535	0.177777777777778	175	2021-02-14T00:00:00Z	2021-06-03T00:00:00Z	Callie	9		HMG	outframe	5	HMG_OUT_4del2ins	HMG	87.548632	93.758953	89.159979	-116.648594	-114.643224	-124.670369	97.560976	92.715232	92.783505	0.316116	0.150677	0.396533	0.585346	0.359124	0.677464	0.580740	0.340573	0.674392	0.875147	0.699709	0.977917
4	WT	2021-08-11	ATR1-16del	5month	F	0.19	2.568	0.210416666666667	179	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Callie	6		ATR1	outframe	5	ATR1_OUT_16	ATR1	125.773896	119.877578	118.350488	-62.383061	-61.993178	-63.162833	128.686327	137.772675	112.941176	0.199993	0.224893	0.208726	0.452016	0.470128	0.482439	0.430737	0.467696	0.446985	0.695618	0.837565	0.795018
4	WT	2021-08-15	ATR1-3del	5month	M	0.249	2.721	0.184027777777778	183	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Callie	4		ATR1	inframe	5	ATR1_IN_3	ATR1	91.627533	83.499284	88.343453	-79.499242	-80.045536	-66.587159	100.671141	130.232558	112.781955	0.321798	0.381489	0.346400	0.566582	0.678293	0.638563	0.593028	0.657535	0.607368	0.893771	0.952150	0.932370
4	WT	2021-09-13	SET-6del	5month	F	0.307	2.789	0.190277777777778	163	2021-04-04T00:00:00Z	2021-06-18T00:00:00Z	Callie	4		SET	inframe	5	SET_IN_6	SET	195.384603	194.651106	192.550584	-106.845464	-100.782166	-95.755636	131.868132	163.568773	129.629630	0.338559	0.353637	0.342785	0.591624	0.634981	0.604061	0.625928	0.632910	0.615162	0.863336	0.979123	0.966155
4	WT	2021-09-14	SET-13del	5month	M	0.4	3.404	0.186805555555556	164	2021-04-04T00:00:00Z	2021-06-18T00:00:00Z	Callie	6		SET	outframe	5	SET_OUT_13	SET	171.913742	178.563272	185.543036	-165.864974	-167.187995	-165.029419	80.106809	98.245614	104.607721	0.341010	0.396225	0.341904	0.671868	0.761516	0.644191	0.639716	0.678844	0.620115	0.997433	1.102103	0.981308
4	WT	2021-10-18	HMG-4del2ins	3month	F	0.148	2.427	0.201388888888889	93	2021-07-18T00:00:00Z	2021-09-29T00:00:00Z	Callie	9		HMG	outframe	3	HMG_OUT_4del2ins	HMG	156.528129	152.437618	154.301151	-106.324480	-99.268350	-92.583635	105.263158	111.455108	101.867572	0.242980	0.300839	0.300719	0.516984	0.577076	0.586619	0.521123	0.546374	0.579137	0.811694	0.844005	0.877982
4	WT	2021-12-26	HMG-4del2ins	5month	M	0.227	3.1	0.1625	133	2015-08-21T00:00:00Z	2021-08-22T00:00:00Z	Callie	7		HMG	outframe	5	HMG_OUT_4del2ins	HMG	138.790182	140.251207	139.764129	-151.990149	-150.723615	-150.936982	139.534884	142.857143	138.461538	0.383165	0.378690	0.345522	0.591995	0.651227	0.569422	0.678135	0.688898	0.629455	0.906271	0.926819	0.870364
4	WT	2022-09-15	ATR1-16del	5month	M	0.211			138	2022-05-01T00:00:00Z	2022-07-24T00:00:00Z	Callie			ATR1	outframe	5	ATR1_OUT_16	ATR1	212.324604	218.612571	213.702623	-126.457751	-126.896875	-89.135167	108.597285	109.090909	102.127660	0.576988	0.837883	0.723053	1.100954	1.135156	1.266986	0.891922	1.135999	1.063982	1.477690	1.460565	1.551160
5	HET	2021-06-24	ATR1-16del	3month	F	0.456	2.706	0.25	131	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Angie	8		ATR1	outframe	3	ATR1_OUT_16	ATR1	79.621743	78.473846	79.865219	-38.801222	-38.452353	-38.258535	96.774194	106.038292	105.527638	0.173906	0.194422	0.162901	0.432891	0.486062	0.467908	0.404981	0.424969	0.371776	0.766283	0.820515	0.768856
5	HET	2021-06-29	ATR1-3del	3month	M	0.214	3	5.53	136	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Angie	4		ATR1	inframe	3	ATR1_IN_3	ATR1	100.643111	97.721243	95.123985	-69.028138	-68.593997	-69.462268	120.300752	108.108108	107.623318	0.226828	0.241143	0.218010	0.519579	0.562873	0.532294	0.460991	0.485417	0.454372	0.844835	0.894199	0.809615
5	HET	2021-07-30	SET-6del	3month	M	0.198	2.972	0.217361111111111	118	2021-04-04T00:00:00Z	2021-06-18T00:00:00Z	Callie	6		SET	inframe	3	SET_IN_6	SET	152.363164	141.972802	115.593144	-63.581062	-61.043401	-69.604774	134.378499	103.831891	115.523466	0.331400	0.359532	0.314699	0.611877	0.615656	0.606451	0.615695	0.637101	0.600384	0.890193	0.857385	0.881791
5	HET	2021-07-31	SET-13del	3month	M	0.206	2.954	0.128472222222222	119	2021-04-04T00:00:00Z	2021-06-18T00:00:00Z	Callie	6		SET	outframe	3	SET_OUT_13	SET	168.437051	190.494305	194.254041	-158.283491	-170.144419	-148.058450	127.659574	106.785317	105.843440	0.348282	0.374466	0.522594	0.658050	0.636986	0.665660	0.605936	0.621970	0.759833	0.974198	0.942220	0.932720
5	HET	2021-08-05	HMG-9del	5month	M	0.247	2.356	0.139583333333333	173	2021-02-14T00:00:00Z	2021-06-05T00:00:00Z	Callie	5		HMG	inframe	5	HMG_IN_9	HMG	124.395305	137.757397	131.076343	-134.895859	-137.942335	-133.694731	85.836910	86.580087	88.626292	0.214714	0.215264	0.217238	0.324833	0.480502	0.438749	0.430070	0.420812	0.439291	0.582335	0.762799	0.719832
5	HET	2021-08-07	HMG-4del2ins	5month	M	0.196	2.687	0.183333333333333	175	2021-02-14T00:00:00Z	2021-06-03T00:00:00Z	Callie	5		HMG	outframe	5	HMG_OUT_4del2ins	HMG	103.397593	108.487951	106.579036	-71.935472	-124.723556	-122.293283	83.449235	73.982737	78.636959	0.224195	0.170682	0.140368	0.447390	0.360127	0.276028	0.454928	0.375457	0.358598	0.709053	0.626251	0.543359
5	HET	2021-08-11	ATR1-16del	5month	F	0.225	2.899	0.265277777777778	179	2021-02-14T00:00:00Z	2021-05-10T00:00:00Z	Callie	12		ATR1	outframe	5	ATR1_OUT_16	ATR1	132.404146	125.490033	128.601437	-91.956927	-93.932327	-95.710286	141.025641	133.086876	123.853211	0.302840	0.314708	0.353504	0.530820	0.527577	0.572244	0.510104	0.569941	0.632974	0.841775	0.838889	0.843174
